target,n,achieved,ceiling,diff,t,p
RV,247,0.8782494576937411,0.9306445242198275,0.05239506652608639,-5.7606107363084424,2.5136333724195522e-08
MaxDD,247,0.9368965747904834,0.9425808362824386,0.005684261491955223,-1.0163307866289293,0.31047859175609954
RS+,247,0.8744039409180823,0.9265688657278369,0.052164924809754654,-5.617591406970976,5.2641988207267154e-08
RS-,247,0.8643836183692906,0.9276152540159329,0.06323163564664236,-5.70972231838352,3.2748200615454855e-08
RS-/RS+比,247,0.7909580584639593,0.8144062343718643,0.023448175907905044,-1.479679762316251,0.14024866103364597
実現歪度,247,0.5400669561090281,0.5504496125018713,0.010382656392843193,-0.23782901404904308,0.8122133024371465
